_id,scanType,SSID,isAttendance,loc,name,round,roundType,scanTime,timeGap,user,company,createdAt,extraInfo.url
5e10e48ec6113b0013eb21dc,regular,NVRAM WARNING: Err = 0x10(67.0),FALSE,"c(-26.2078453, 28.3131255)",Guard House,0,circular,2020-01-04T19:16:28Z,0hr 51min,592e98aeb1bc36000430b25e,592e9549b1bc36000430b252,2020-01-04T19:16:30Z,
5e10e494c6113b0013eb21de,regular,NA(80.0),FALSE,"c(-26.02311, 28.2851517)",Laboratory Parking,0,circular,2020-01-04T19:16:31Z,0hr 56min,592e9a13b1bc36000430b266,592e9549b1bc36000430b252,2020-01-04T19:16:36Z,
5e10e49ec6113b0013eb21df,regular,-80,FALSE,"c(-26.1941283, 28.0315049)",Lower Parking Entrance,0,circular,2020-01-04T19:16:43Z,1hr 2min,5b3044580f860900136342fa,595d047eae9b350004bd44fc,2020-01-04T19:16:46Z,
5e10e4bdc6113b0013eb21e1,regular,NOH MAIN PHARMACY(80.0),FALSE,"c(6.5312784, 3.3713779)",NOHI_Old Admin_Main Pharmacy,7,circular,2020-01-04T19:17:10Z,1hr 52min,5ce822ea3581bf0013b44644,5ce8224f3581bf0013b44639,2020-01-04T19:17:17Z,
5e10e4c7c6113b0013eb21e2,regular,NA(93.0),FALSE,"c(-26.2713854, 28.4802789)",Ekurhuleni,8,circular,2020-01-04T19:17:23Z,1hr 0min,592e981eb1bc36000430b25b,592e9549b1bc36000430b252,2020-01-04T19:17:27Z,
5e10f304c6113b0013eb228a,regular,NA(58.999996),FALSE,"c(-26.1378092, 28.4645133)",Chlorine Room,7,circular,2020-01-04T19:17:50Z,0hr 53min,592e97f2b1bc36000430b25a,592e9549b1bc36000430b252,2020-01-04T20:18:12Z,
5e10f31ec6113b0013eb228f,regular,NA(58.999996),FALSE,"c(-26.1378092, 28.4645133)",Chlorine Room,7,circular,2020-01-04T19:17:50Z,0hr 53min,592e97f2b1bc36000430b25a,592e9549b1bc36000430b252,2020-01-04T20:18:38Z,
5e10e4e2c6113b0013eb21e4,regular,NA(80.0),FALSE,"c(-26.02311, 28.2851517)",Near Lapa,0,circular,2020-01-04T19:17:51Z,1hr 0min,592e9a13b1bc36000430b266,592e9549b1bc36000430b252,2020-01-04T19:17:54Z,
5e10e4e8c6113b0013eb21e5,regular,NVRAM WARNING: Err = 0x10(67.0),FALSE,"c(-26.207995, 28.3168)",Office 2 Steps,0,circular,2020-01-04T19:17:57Z,0hr 54min,592e98aeb1bc36000430b25e,592e9549b1bc36000430b252,2020-01-04T19:18:00Z,
5e10e4ebc6113b0013eb21e6,regular,NOH MAIN PHARMACY(80.0),FALSE,"c(6.5312784, 3.3713779)",NOHI_Accounts Department_Nursing Admin,7,circular,2020-01-04T19:18:00Z,2hr 4min,5ce822ea3581bf0013b44644,5ce8224f3581bf0013b44639,2020-01-04T19:18:03Z,
5e10e50cc6113b0013eb21e8,regular,NVRAM WARNING: Err = 0x10(75.0),FALSE,"c(-26.3549559, 28.1783885)",Module B Humus Slugde,0,circular,2020-01-04T19:18:25Z,0hr 49min,592e992fb1bc36000430b261,592e9549b1bc36000430b252,2020-01-04T19:18:36Z,
5e10f0d2c6113b0013eb2255,regular,HP-Print-16-Officejet Pro 8610(54.000004),FALSE,"c(-26.5399731, 28.3284944)",Chlorine Room,8,circular,2020-01-04T19:18:33Z,0hr 55min,592e97beb1bc36000430b259,592e9549b1bc36000430b252,2020-01-04T20:08:50Z,
5e10e514c6113b0013eb21ec,regular,NOH MAIN PHARMACY(80.0),FALSE,"c(6.5312784, 3.3713779)",NOHI_Medical Health Records,7,circular,2020-01-04T19:18:35Z,2hr 5min,5ce822ea3581bf0013b44644,5ce8224f3581bf0013b44639,2020-01-04T19:18:44Z,
